intervention,peak_pressure_index,mean_pressure_index,ending_pressure_index,pressure_load_index_hours,minimum_effective_do_mg_l,mean_feeding_opportunity_pct,response_readiness_hours,pressure_band,scenario_interpretation,scenario_id,hab_multiplier,mhw_delta_c,do_delta_mg_l,density_multiplier,pressure_load_reduction_pct,lowest_pressure,pareto_efficient
降低投喂40%,57.3913,37.80286712328767,57.3913,2726.91365,3.8081,31.656598630136987,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,24,0.9,0.4,0.0,1.1,1.8371611243194041,False,False
启动增氧,49.1728,32.819053424657525,49.1728,2367.2045,5.2237,65.46752739726027,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,24,0.9,0.4,0.0,1.1,14.785892131462969,False,True
转移准备（未执行）,58.4991,38.5095698630137,58.4991,2777.94905,3.7237,52.108976712328776,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,24,0.9,0.4,0.0,1.1,0.0,False,False
降低投喂+增氧,48.3111,32.29353835616438,48.3111,2329.27275,5.3081,39.748860273972596,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,24,0.9,0.4,0.0,1.1,16.15135094000374,True,True
维持监测,53.9732,35.723891780821916,53.9732,2576.8575,4.3655,57.230901369863005,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,25,0.9,0.4,0.5,0.9,0.0,False,False
降低投喂40%,52.9052,35.05801917808219,52.9052,2528.7828,4.4345,34.78918219178082,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,25,0.9,0.4,0.5,0.9,1.865632849313558,False,False
启动增氧,44.5707,30.079972602739733,44.5707,2169.55265,5.8655,70.48718493150686,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,25,0.9,0.4,0.5,0.9,15.806262084729171,False,True
转移准备（未执行）,53.9732,35.723891780821916,53.9732,2576.8575,4.3655,57.230901369863005,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,25,0.9,0.4,0.5,0.9,0.0,False,False
降低投喂+增氧,44.138,29.821986301369865,44.138,2150.936,5.9345,42.52329726027397,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,25,0.9,0.4,0.5,0.9,16.52871763378456,True,True
维持监测,55.197,36.47384246575343,55.197,2630.992,4.2841,56.32935479452054,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,26,0.9,0.4,0.5,1.0,0.0,False,False
降低投喂40%,54.0796,35.77274794520548,54.0796,2580.3707999999997,4.3619,34.28069315068493,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,26,0.9,0.4,0.5,1.0,1.9240347367076942,False,False
启动增氧,45.523,30.642183561643833,45.523,2210.1178999999997,5.7841,69.87754520547945,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,26,0.9,0.4,0.5,1.0,15.996783722641515,False,True
转移准备（未执行）,55.197,36.47384246575343,55.197,2630.992,4.2841,56.32935479452054,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,26,0.9,0.4,0.5,1.0,0.0,False,False
降低投喂+增氧,45.0174,30.33920410958904,45.0174,2188.2532,5.8619,42.20468630136986,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,26,0.9,0.4,0.5,1.0,16.827827678685455,True,True
维持监测,56.0936,37.02547397260274,56.0936,2670.8127999999997,4.2237,55.679131506849316,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,27,0.9,0.4,0.5,1.1,0.0,False,False
降低投喂40%,54.944,36.30090273972602,54.944,2618.4939000000004,4.3081,33.91126712328767,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,27,0.9,0.4,0.5,1.1,1.9589130320177928,False,False
启动增氧,46.2507,31.07335616438356,46.2507,2241.22965,5.7237,69.40007123287671,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,27,0.9,0.4,0.5,1.1,16.08436016182038,False,True
转移准备（未执行）,56.0936,37.02547397260274,56.0936,2670.8127999999997,4.2237,55.679131506849316,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,27,0.9,0.4,0.5,1.1,0.0,False,False
降低投喂+增氧,45.6863,30.733806849315062,45.6863,2216.72475,5.8081,41.95633561643836,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,27,0.9,0.4,0.5,1.1,17.001867371610615,True,True
维持监测,58.1499,38.398031506849314,58.1499,2769.98135,3.3693,49.27654794520548,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,28,1.0,-0.4,-0.5,0.9,0.0,False,False
降低投喂40%,57.1258,37.74853424657534,57.1258,2723.0801,3.4367,29.843008219178085,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,28,1.0,-0.4,-0.5,0.9,1.6931973206245554,False,False
启动增氧,50.4607,33.70706438356165,50.4607,2431.38535,4.8693,60.71903424657534,10,较高：建议加密监测,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,28,1.0,-0.4,-0.5,0.9,12.223764611267148,False,True
转移准备（未执行）,58.1499,38.398031506849314,58.1499,2769.98135,3.3693,49.27654794520548,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,28,1.0,-0.4,-0.5,0.9,0.0,False,False
降低投喂+增氧,49.5375,33.14347123287671,49.5375,2390.70465,4.9367,36.87688630136986,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,28,1.0,-0.4,-0.5,0.9,13.692391827836671,True,True
维持监测,59.124,39.00254931506849,59.124,2813.6241,3.2884,48.792039726027404,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,29,1.0,-0.4,-0.5,1.0,0.0,False,False
降低投喂40%,58.0978,38.348256164383564,58.0978,2766.3738,3.3645,29.556531506849314,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,29,1.0,-0.4,-0.5,1.0,1.6793394682679947,False,False
启动增氧,51.7196,34.46738219178082,51.7196,2486.2590999999998,4.7884,59.74111232876712,10,较高：建议加密监测,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,29,1.0,-0.4,-0.5,1.0,11.634994169974597,False,True
转移准备（未执行）,59.124,39.00254931506849,59.124,2813.6241,3.2884,48.792039726027404,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,29,1.0,-0.4,-0.5,1.0,0.0,False,False
降低投喂+增氧,50.7159,33.85068356164384,50.7159,2441.7419499999996,4.8645,36.343097260273964,8,较高：建议加密监测,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,29,1.0,-0.4,-0.5,1.0,13.217193796427903,True,True
维持监测,59.8337,39.44438767123288,59.8337,2845.5234499999997,3.2283,48.44946438356164,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,30,1.0,-0.4,-0.5,1.1,0.0,False,False
降低投喂40%,58.8078,38.78778904109589,58.8078,2798.1047,3.3108,29.352683561643833,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,30,1.0,-0.4,-0.5,1.1,1.6664332883990052,False,False
启动增氧,52.6574,35.03636164383562,52.6574,2527.3257,4.7283,59.01378767123288,10,较高：建议加密监测,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,30,1.0,-0.4,-0.5,1.1,11.182397741266193,False,True
转移准备（未执行）,59.8337,39.44438767123288,59.8337,2845.5234499999997,3.2283,48.44946438356164,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,30,1.0,-0.4,-0.5,1.1,0.0,False,False
降低投喂+增氧,51.5964,34.38127671232877,51.5964,2480.0350000000003,4.8108,35.94427123287671,8,较高：建议加密监测,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,30,1.0,-0.4,-0.5,1.1,12.844330978892456,True,True
维持监测,56.5113,37.38822054794521,56.5113,2697.0844500000003,3.8693,51.793280821917804,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,31,1.0,-0.4,0.0,0.9,0.0,False,False
降低投喂40%,55.4561,36.724549315068494,55.4561,2649.1640500000003,3.9367,31.438056164383564,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,31,1.0,-0.4,0.0,0.9,1.7767482215842358,False,False
启动增氧,47.0749,31.681447945205477,47.0749,2285.2082499999997,5.3693,65.47757260273973,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,31,1.0,-0.4,0.0,0.9,15.271164386417361,False,True
转移准备（未执行）,56.5113,37.38822054794521,56.5113,2697.0844500000003,3.8693,51.793280821917804,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,31,1.0,-0.4,0.0,0.9,0.0,False,False
降低投喂+增氧,46.3922,31.27136712328767,46.3922,2255.6137,5.4367,39.63971780821918,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,31,1.0,-0.4,0.0,0.9,16.368443709651004,True,True
维持监测,57.6056,38.06363424657535,57.6056,2745.8425,3.7884,51.10782602739726,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,32,1.0,-0.4,0.0,1.0,0.0,False,False
降低投喂40%,56.5313,37.38408356164384,56.5313,2696.77245,3.8645,31.040202739726027,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,32,1.0,-0.4,0.0,1.0,1.7870671751930514,False,False
启动增氧,48.219,32.363110958904116,48.219,2334.3976000000002,5.2884,64.6331890410959,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,32,1.0,-0.4,0.0,1.0,14.984286243657454,False,True
转移准备（未执行）,57.6056,38.06363424657535,57.6056,2745.8425,3.7884,51.10782602739726,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,32,1.0,-0.4,0.0,1.0,0.0,False,False
降低投喂+增氧,47.4463,31.896272602739728,47.4463,2300.70475,5.3645,39.191919178082195,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,32,1.0,-0.4,0.0,1.0,16.21133586503961,True,True
维持监测,58.4017,38.55687808219178,58.4017,2781.45125,3.7283,50.622090410958904,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,33,1.0,-0.4,0.0,1.1,0.0,False,False
降低投喂40%,57.3168,37.867700000000006,57.3168,2731.6837,3.8108,30.756156164383555,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,33,1.0,-0.4,0.0,1.1,1.7892655857261575,False,False
启动增氧,49.0866,32.882209589041096,49.0866,2371.858,5.2283,63.98526849315069,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,33,1.0,-0.4,0.0,1.1,14.725882756348863,False,True
转移准备（未执行）,58.4017,38.55687808219178,58.4017,2781.45125,3.7283,50.622090410958904,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,33,1.0,-0.4,0.0,1.1,0.0,False,False
降低投喂+增氧,48.245,32.37146849315068,48.245,2334.9947,5.3108,38.84825753424658,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,33,1.0,-0.4,0.0,1.1,16.0512088788182,True,True
维持监测,53.8774,35.776356164383564,53.8774,2580.7353,4.3693,55.74803972602739,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,34,1.0,-0.4,0.5,0.9,0.0,False,False
降低投喂40%,52.8322,35.127565753424655,52.8322,2533.8962,4.4367,33.88953287671233,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,34,1.0,-0.4,0.5,0.9,1.8149517310047139,False,False
启动增氧,44.5065,30.16202191780822,44.5065,2175.57435,5.8693,68.98193698630136,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,34,1.0,-0.4,0.5,0.9,15.699438450739212,False,True
转移准备（未执行）,53.8774,35.776356164383564,53.8774,2580.7353,4.3693,55.74803972602739,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,34,1.0,-0.4,0.5,0.9,0.0,False,False
降低投喂+增氧,44.0843,29.911478082191778,44.0843,2157.49575,5.9367,41.61442191780822,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,34,1.0,-0.4,0.5,0.9,16.39995973240649,True,True
维持监测,55.0988,36.523426027397264,55.0988,2634.6607000000004,4.2884,54.849747945205486,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,35,1.0,-0.4,0.5,1.0,0.0,False,False
降低投喂40%,54.0051,35.84024109589041,54.0051,2585.33505,4.3645,33.382402739726025,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,35,1.0,-0.4,0.5,1.0,1.8721822510200352,False,False
启动增氧,45.455,30.720857534246573,45.455,2215.8950999999997,5.7884,68.37696712328768,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,35,1.0,-0.4,0.5,1.0,15.89447931568572,False,True
转移准备（未执行）,55.0988,36.523426027397264,55.0988,2634.6607000000004,4.2884,54.849747945205486,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,35,1.0,-0.4,0.5,1.0,0.0,False,False
降低投喂+增氧,44.9617,30.42673287671233,44.9617,2194.67065,5.8645,41.297375342465756,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,35,1.0,-0.4,0.5,1.0,16.700065021655362,True,True
维持监测,55.9937,37.073093150684926,55.9937,2674.33895,4.2283,54.20162054794521,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,36,1.0,-0.4,0.5,1.1,0.0,False,False
降低投喂40%,54.8684,36.36694931506849,54.8684,2623.3531000000003,4.3108,33.013895890410964,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,36,1.0,-0.4,0.5,1.1,1.906484217342741,False,False
启动增氧,46.1796,31.14931643835617,46.1796,2246.8103,5.7283,67.90327671232876,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,36,1.0,-0.4,0.5,1.1,15.986330005027963,False,True
转移准备（未执行）,55.9937,37.073093150684926,55.9937,2674.33895,4.2283,54.20162054794521,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,36,1.0,-0.4,0.5,1.1,0.0,False,False
降低投喂+增氧,45.629,30.819760273972598,45.629,2223.0280000000002,5.8108,41.05029452054794,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,36,1.0,-0.4,0.5,1.1,16.875607708589055,True,True
维持监测,59.1045,39.017286301369865,59.1045,2814.70965,3.3693,49.01820410958904,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,37,1.0,0.0,-0.5,0.9,0.0,False,False
降低投喂40%,58.0959,38.37433561643836,58.0959,2768.27855,3.4367,29.685986301369866,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,37,1.0,0.0,-0.5,0.9,1.6495875515970109,False,False
启动增氧,51.5018,34.36187260273972,51.5018,2478.6657999999998,4.8693,60.448956164383574,10,较高：建议加密监测,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,37,1.0,0.0,-0.5,0.9,11.938845983634584,False,True
转移准备（未执行）,59.1045,39.017286301369865,59.1045,2814.70965,3.3693,49.01820410958904,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,37,1.0,0.0,-0.5,0.9,0.0,False,False
降低投喂+增氧,50.593,33.80419726027397,50.593,2438.4098999999997,4.9367,36.712158904109586,8,较高：建议加密监测,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,37,1.0,0.0,-0.5,0.9,13.369043233286963,True,True
维持监测,60.0679,39.617289041095894,60.0679,2858.02815,3.2884,48.53562191780822,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,38,1.0,0.0,-0.5,1.0,0.0,False,False
降低投喂40%,59.057,38.96957123287671,59.057,2811.2502,3.3645,29.400664383561647,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,38,1.0,0.0,-0.5,1.0,1.6367211078729278,False,False
启动增氧,52.7458,35.11610547945206,52.7458,2533.1027999999997,4.7884,59.474194520547954,10,较高：建议加密监测,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,38,1.0,0.0,-0.5,1.0,11.368864578888084,False,True
转移准备（未执行）,60.0679,39.617289041095894,60.0679,2858.02815,3.2884,48.53562191780822,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,38,1.0,0.0,-0.5,1.0,0.0,False,False
降低投喂+增氧,51.7577,34.505873972602735,51.7577,2489.0499499999996,4.8645,36.180001369863014,8,较高：建议加密监测,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,38,1.0,0.0,-0.5,1.0,12.910236730873365,True,True
维持监测,60.7696,40.055834246575344,60.7696,2889.6911,3.2283,48.194428767123284,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,39,1.0,0.0,-0.5,1.1,0.0,False,False
降低投喂40%,59.7591,39.405820547945204,59.7591,2842.74535,3.3108,29.197650684931514,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,39,1.0,0.0,-0.5,1.1,1.6245940612821856,False,False
启动增氧,53.6726,35.68057534246575,53.6726,2573.8457,4.7283,58.749187671232875,10,较高：建议加密监测,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,39,1.0,0.0,-0.5,1.1,10.930074844331983,False,True
转移准备（未执行）,60.7696,40.055834246575344,60.7696,2889.6911,3.2283,48.194428767123284,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,39,1.0,0.0,-0.5,1.1,0.0,False,False
降低投喂+增氧,52.628,35.032332876712324,52.628,2527.0463,4.8108,35.78237945205479,8,较高：建议加密监测,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,39,1.0,0.0,-0.5,1.1,12.549604350444241,True,True
维持监测,57.4839,38.014893150684934,57.4839,2742.3452500000003,3.8693,51.53310547945206,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,40,1.0,0.0,0.0,0.9,0.0,False,False
降低投喂40%,56.4446,37.35794657534247,56.4446,2694.9078,3.9367,31.27960410958905,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,40,1.0,0.0,0.0,0.9,1.7298131954756735,False,False
启动增氧,48.1562,32.35253287671233,48.1562,2333.6568,5.3693,65.19989863013699,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,40,1.0,0.0,0.0,0.9,14.902881028564877,False,True
转移准备（未执行）,57.4839,38.014893150684934,57.4839,2742.3452500000003,3.8693,51.53310547945206,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,40,1.0,0.0,0.0,0.9,0.0,False,False
降低投喂+增氧,47.4843,31.94685479452055,47.4843,2304.37825,5.4367,39.47095205479453,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,40,1.0,0.0,0.0,0.9,15.970527416268979,True,True
维持监测,58.5658,38.68517945205479,58.5658,2790.7352,3.7884,50.849919178082196,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,41,1.0,0.0,0.0,1.0,0.0,False,False
降低投喂40%,57.5077,38.01248904109589,57.5077,2742.1578499999996,3.8645,30.883063013698624,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,41,1.0,0.0,0.0,1.0,1.7406649688584026,False,False
启动增氧,49.2866,33.028650684931506,49.2866,2382.4482000000003,5.2884,64.35856575342466,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,41,1.0,0.0,0.0,1.0,14.63008744075754,False,True
转移准备（未执行）,58.5658,38.68517945205479,58.5658,2790.7352,3.7884,50.849919178082196,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,41,1.0,0.0,0.0,1.0,0.0,False,False
降低投喂+增氧,48.5262,32.56682465753424,48.5262,2349.1151,5.3645,39.02464109589041,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,41,1.0,0.0,0.0,1.0,15.824507463122982,True,True
维持监测,59.353,39.17469178082192,59.353,2826.076,3.7283,50.36580410958904,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,42,1.0,0.0,0.0,1.1,0.0,False,False
降低投喂40%,58.2844,38.49245616438356,58.2844,2776.8071,3.8108,30.599964383561638,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,42,1.0,0.0,0.0,1.1,1.7433678358260722,False,False
启动增氧,50.1437,33.543535616438355,50.1437,2419.60625,5.2283,63.71296438356165,10,较高：建议加密监测,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,42,1.0,0.0,0.0,1.1,14.382831530362248,False,True
转移准备（未执行）,59.353,39.17469178082192,59.353,2826.076,3.7283,50.36580410958904,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,42,1.0,0.0,0.0,1.1,0.0,False,False
降低投喂+增氧,49.3155,33.03826164383562,49.3155,2383.1353499999996,5.3108,38.682134246575345,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,42,1.0,0.0,0.0,1.1,15.673345302815651,True,True
维持监测,54.8793,36.415128767123285,54.8793,2626.86475,4.3693,55.484149315068485,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,43,1.0,0.0,0.5,0.9,0.0,False,False
降低投喂40%,53.8501,35.773004109589046,53.8501,2580.50425,4.4367,33.72851780821917,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,43,1.0,0.0,0.5,0.9,1.764860562387166,False,False
启动增氧,45.6193,30.845719178082188,45.6193,2224.92785,5.8693,68.6975506849315,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,43,1.0,0.0,0.5,0.9,15.301012357031329,False,True
转移准备（未执行）,54.8793,36.415128767123285,54.8793,2626.86475,4.3693,55.484149315068485,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,43,1.0,0.0,0.5,0.9,0.0,False,False
降低投喂+增氧,45.2039,30.59790273972603,45.2039,2207.0449499999995,5.9367,41.44237534246575,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,43,1.0,0.0,0.5,0.9,15.981782084517318,True,True
维持监测,56.0866,37.156380821917814,56.0866,2680.3725,4.2884,54.5886301369863,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,44,1.0,0.0,0.5,1.0,0.0,False,False
降低投喂40%,55.0096,36.48021369863014,55.0096,2631.5508,4.3645,33.22291506849315,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,44,1.0,0.0,0.5,1.0,1.8214520556377878,False,False
启动增氧,46.5563,31.40000410958904,46.5563,2264.9221500000003,5.7884,68.09508767123287,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,44,1.0,0.0,0.5,1.0,15.499724385323294,False,True
转移准备（未执行）,56.0866,37.156380821917814,56.0866,2680.3725,4.2884,54.5886301369863,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,44,1.0,0.0,0.5,1.0,0.0,False,False
降低投喂+增氧,46.071,31.10908767123287,46.071,2243.9279,5.8645,41.12655753424657,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,44,1.0,0.0,0.5,1.0,16.28298305552679,True,True
维持监测,56.9712,37.70180273972603,56.9712,2719.7459999999996,4.2283,53.94248904109589,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,45,1.0,0.0,0.5,1.1,0.0,False,False
降低投喂40%,55.8631,37.002883561643834,55.8631,2669.27895,4.3108,32.85550958904109,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,45,1.0,0.0,0.5,1.1,1.8555795283824208,False,False
启动增氧,47.2722,31.824960273972604,47.2722,2295.5860000000002,5.7283,67.62333835616438,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,45,1.0,0.0,0.5,1.1,15.595573998454249,False,True
转移准备（未执行）,56.9712,37.70180273972603,56.9712,2719.7459999999996,4.2283,53.94248904109589,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,45,1.0,0.0,0.5,1.1,0.0,False,False
降低投喂+增氧,46.7305,31.499005479452055,46.7305,2272.0621499999997,5.8108,40.88042191780821,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,45,1.0,0.0,0.5,1.1,16.460502193954873,True,True
维持监测,59.6272,39.357299999999995,59.6272,2839.2693,3.3693,48.87635342465753,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,46,1.0,0.4,-0.5,0.9,0.0,False,False
降低投喂40%,58.627,38.71792328767123,58.627,2793.0949,3.4367,29.59976575342466,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,46,1.0,0.4,-0.5,0.9,1.6262775778260934,False,False
启动增氧,52.0717,34.72137397260274,52.0717,2504.6244500000003,4.8693,60.30068356164383,10,较高：建议加密监测,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,46,1.0,0.4,-0.5,0.9,11.786301848859484,False,True
转移准备（未执行）,59.6272,39.357299999999995,59.6272,2839.2693,3.3693,48.87635342465753,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,46,1.0,0.4,-0.5,0.9,0.0,False,False
降低投喂+增氧,51.1708,34.166935616438344,51.1708,2464.6009,4.9367,36.62173561643835,8,较高：建议加密监测,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,46,1.0,0.4,-0.5,0.9,13.195944463598435,True,True
维持监测,60.5846,39.954821917808225,60.5846,2882.4097,3.2884,48.3948301369863,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,47,1.0,0.4,-0.5,1.0,0.0,False,False
降低投喂40%,59.5822,39.31069452054794,59.5822,2835.8896,3.3645,29.315075342465754,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,47,1.0,0.4,-0.5,1.0,1.6139308717980023,False,False
启动增氧,53.3076,35.47228493150685,53.3076,2558.8230000000003,4.7884,59.32764520547945,10,较高：建议加密监测,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,47,1.0,0.4,-0.5,1.0,11.226256281332935,False,True
转移准备（未执行）,60.5846,39.954821917808225,60.5846,2882.4097,3.2884,48.3948301369863,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,47,1.0,0.4,-0.5,1.0,0.0,False,False
